Read gold from ./data/gold.json
Read predict file from ./data/result_our_new.json
预测: 中国足球的队长是谁, 选自 answer_2, 得分: 1.0
预测: 新冠肺炎如何预防？, 选自 answer_1, 得分: 1.0
预测: 交通事故如何处理？, 选自 answer_3, 得分: 0.8984566926956177
预测: 怎样加热座椅？, 选自 answer_7, 得分: 0.9503560066223145
预测: 自动模式下，中央显示屏是如何切换日间和夜间模式的？, 选自 answer_2, 得分: 0.9525778889656067
预测: 如何通过中央显示屏进行副驾驶员座椅设置？, 选自 answer_2, 得分: 0.9692218899726868
预测: 副仪表台按钮如何操作中央显示屏？, 选自 answer_1, 得分: 0.9794612228870392
预测: 如何从锁定状态唤醒中央显示器?, 选自 answer_1, 得分: 0.8601192235946655
预测: 如何正确使用颈椎保护系统？, 选自 answer_1, 得分: 0.9836061894893646
预测: 前方交叉路口预警系统（FCTA）的作用是什么？, 选自 answer_3, 得分: 0.9654973149299622
预测: 在使用FCTA时需要注意哪些事项？, 选自 answer_1, 得分: 0.9649278521537781
预测: 如何打开车辆尾门？, 选自 answer_1, 得分: 0.9474104642868042
预测: 在哪些情况下智能钥匙可能会受到干扰，导致功能异常？, 选自 answer_1, 得分: 0.9498391151428223
预测: 车辆尾门的防夹保护功能是如何工作的？, 选自 answer_4, 得分: 0.9683322310447693
预测: 在操作电动后备厢时需要注意哪些事项？, 选自 answer_1, 得分: 0.9744121432304382
预测: 如何进入车辆功能界面？, 选自 answer_3, 得分: 0.9455626904964447
预测: 在车辆功能界面有哪些操作选项？, 选自 answer_1, 得分: 0.963474303483963
预测: 如何编辑快捷开关图标?, 选自 answer_1, 得分: 0.9994887113571167
预测: 如何减少车辆腐蚀风险？, 选自 answer_1, 得分: 0.955007404088974
预测: 如何通过空调系统面板调节空调风量？, 选自 answer_1, 得分: 0.9351725876331329
预测: 如何创建新的Lynk&CoID？, 选自 answer_1, 得分: 0.9746183753013611
预测: 什么是车主账户？, 选自 answer_7, 得分: 0.9357599318027496
预测: 如何创建人脸识别？, 选自 answer_2, 得分: 0.9671323001384735
预测: 如何添加亲情账号？, 选自 answer_4, 得分: 0.9855189025402069
预测: 如何开启或关闭用车偏好自动同步？, 选自 answer_1, 得分: 0.9675023257732391
预测: 如何熄火我的车辆？, 选自 answer_4, 得分: 0.941687673330307
预测: 如何通过遥控钥匙启动车辆？, 选自 answer_3, 得分: 0.9533718824386597
预测: 如果遥控钥匙电池电量低，我应该如何启动车辆？, 选自 answer_1, 得分: 0.9322637021541595
预测: 如何调节外后视镜？, 选自 answer_3, 得分: 0.9808228015899658
预测: 外部反光境显示物体距离是否准确?, 选自 answer_1, 得分: 0.8637633323669434
预测: 什么是自动驻车系统？, 选自 answer_1, 得分: 0.9607739150524139
预测: 在什么情况下会停用AutoHold并启用EPB功能？, 选自 answer_3, 得分: 0.9750940799713135
预测: 中央扶手箱的USB接口有几个？它们分别是什么类型？, 选自 answer_6, 得分: 0.9626345336437225
预测: 中央扶手箱所支持的U盘及数据传输格式有哪些？, 选自 answer_1, 得分: 0.9493698477745056
预测: 如何通过中央显示屏调节驾驶员侧座椅通风强度？, 选自 answer_2, 得分: 0.9493519961833954
预测: 如何关闭前排座行车通风功能？, 选自 answer_1, 得分: 0.9433814585208893
预测: 如何进入系统设置界面？, 选自 answer_2, 得分: 0.9330466985702515
预测: 在系统界面可以进行哪些操作？, 选自 answer_6, 得分: 0.44125115871429443
预测: 什么是无钥匙进入系统？, 选自 answer_6, 得分: 0.9616116583347321
预测: 如何设置无钥匙解锁模式？, 选自 answer_3, 得分: 0.9448897838592529
预测: 设置无钥匙解锁中单门和全车的区别在于什么？, 选自 answer_2, 得分: 0.9536020159721375
预测: 驾驶车辆时应遵守哪些注意事项？, 选自 answer_2, 得分: 0.9546600580215454
预测: 如何启用或停用手套箱密码保护功能？, 选自 answer_2, 得分: 0.9717554152011871
预测: 驾驶员状态监测系统是如何工作的？, 选自 answer_1, 得分: 0.9556476473808289
预测: 什么情况下会影响到驾驶员状态监测系统的工作？, 选自 answer_4, 得分: 0.9300752580165863
预测: 如何启用后排儿童锁功能？, 选自 answer_2, 得分: 0.9796021282672882
预测: 安全气囊是什么？它的作用是什么？, 选自 answer_4, 得分: 0.9267095327377319
预测: 如果未使用或未正确使用安全带，会对安全气囊有何影响？ , 选自 answer_6, 得分: 0.9469701647758484
预测: 在使用车辆时，有哪些安全气囊的注意事项？, 选自 answer_3, 得分: 0.9713916480541229
预测: 如何开启动力电池电量保持功能？, 选自 answer_1, 得分: 0.9650683403015137
预测: 在开启动力电池的情况下，选择经济性优先和充电速度优先有什么区别？, 选自 answer_5, 得分: 0.9397374987602234
预测: 后方碰撞预警系统在什么情况下会启动？, 选自 answer_3, 得分: 0.9554633498191833
预测: 如何调整方向盘的位置？, 选自 answer_2, 得分: 0.9731446504592896
预测: 什么情况下不能调节车辆的方向盘？, 选自 answer_4, 得分: 0.9162319600582123
预测: 如何通过手机APP启动车辆？, 选自 answer_1, 得分: 0.9689993858337402
预测: 什么是陡坡缓降系统（HDC什么是陡坡缓降系统（HDC）？, 选自 answer_4, 得分: 0.9668852984905243
预测: 当坡度过大时，如何操作才能使车辆保持匀速地行驶？, 选自 answer_1, 得分: 0.9616959393024445
预测: 在什么情况下HDC会激活？, 选自 answer_3, 得分: 0.9541248083114624
预测: 在什么情况下无法激活或自动退出HDC功能？, 选自 answer_2, 得分: 0.9236057102680206
预测: 开启陡坡缓降系统后，组合仪表显示什么颜色的指示灯？, 选自 answer_1, 得分: 0.9974553287029266
预测: 激活陡坡缓降系统时，组合仪表显示什么颜色的指示灯？, 选自 answer_1, 得分: 1.0000001192092896
预测: 当陡坡缓降系统出现故障时，组合仪表会显示怎样的提示？, 选自 answer_2, 得分: 1.000000238418579
预测: 坡道辅助系统的主要功能是什么？, 选自 answer_3, 得分: 0.9443086683750153
预测: 使用坡道辅助系统时需要注意哪些警告？, 选自 answer_3, 得分: 0.9720715880393982
预测: 在有路缘石的上坡和下坡驻车时，应如何操作？, 选自 answer_3, 得分: 0.9493566155433655
预测: 新车在最初的2000km行驶期间应遵守哪些事项？, 选自 answer_3, 得分: 0.9662213027477264
预测: 当刹车片将达到最小安全厚度时会有什么表现？, 选自 answer_1, 得分: 0.9941018521785736
预测: 如果听到持续的高频尖锐噪声应该怎么做？, 选自 answer_1, 得分: 0.9464460015296936
预测: 风挡摄像头和前雷达在什么情况下会弹出警示消息？, 选自 answer_2, 得分: 0.9227348566055298
预测: 如何通过蓝牙钥匙启动车辆？, 选自 answer_1, 得分: 0.9442810118198395
预测: 在什么情况下无法通过蓝牙钥匙启动车辆？, 选自 answer_1, 得分: 0.9729450643062592
预测: 如何通过网络远程启动发动机？, 选自 answer_1, 得分: 0.9582771956920624
预测: 变道辅助系统由哪三部分组成？, 选自 answer_2, 得分: 0.9999999701976776
预测: 如何检查制动液液位？, 选自 answer_6, 得分: 0.945149153470993
预测: 如何调节车辆的背光亮度？, 选自 answer_1, 得分: 0.975123941898346
预测: 在白天和夜晚，开启和未开启整车背光联动时，转动调光旋钮有什么不同？, 选自 answer_4, 得分: 0.9705773591995239
预测: 当车辆发生故障时，应该如何处理？, 选自 answer_1, 得分: 0.9605845212936401
预测: 为什么不建议自行修理车辆故障？, 选自 answer_4, 得分: 0.9355310499668121
预测: 什么是能量回收系统？, 选自 answer_6, 得分: 0.9705126285552979
预测: 如何知道车辆正在进行能量回收？, 选自 answer_1, 得分: 0.8979253172874451
预测: 影响能量回收多少的因素有哪些？, 选自 answer_2, 得分: 0.9209607243537903
预测: 什么是智能远近光控制系统？, 选自 answer_1, 得分: 0.9728883802890778
预测: 在什么情况下可以开启智能远近光控制系统？, 选自 answer_3, 得分: 0.9807364344596863
预测: 哪些因素可能导致智能远近光控制系统无法正常工作？, 选自 answer_1, 得分: 0.9696049392223358
预测: 如何启用前除霜/除雾功能？, 选自 answer_3, 得分: 0.9490900039672852
预测: 当我开启前挡风玻璃的去冰去雾模式时，车辆会有什么反应？, 选自 answer_7, 得分: 0.9409423768520355
预测: 为什么驾驶之前需要确保挡风玻璃无冰渣、积雪或冷凝水？, 选自 answer_2, 得分: 0.9318806529045105
预测: 什么情况下车辆需要进行报废处理？, 选自 answer_2, 得分: 0.9080032110214233
预测: 什么是遥控泊车（RPA）？, 选自 answer_7, 得分: 0.9655882716178894
预测: 使用Lynk&CoApp的RPA功能需要注意什么？, 选自 answer_2, 得分: 0.9746620953083038
预测: 如何开启方向盘助力与驾驶模式联动？, 选自 answer_6, 得分: 0.9805442094802856
预测: 有哪些可选的方向盘转向助力模式？, 选自 answer_6, 得分: 0.981157511472702
预测: 主动式座舱清洁系统的作用是什么？, 选自 answer_1, 得分: 0.9667917788028717
预测: 全景天窗是由几部分组成的？, 选自 answer_3, 得分: 0.925851583480835
预测: 如何使用位置记忆功能？, 选自 answer_2, 得分: 0.9843086004257202
预测: 如何更换后挡风玻璃雨刮片？, 选自 answer_1, 得分: 0.9809918999671936
预测: 在更换雨刮片时需要注意什么？, 选自 answer_1, 得分: 0.9769189655780792
预测: 如何添加香氛精油？, 选自 answer_3, 得分: 0.9837212562561035
预测: 我应该在哪里添加香氛精油？, 选自 answer_1, 得分: 0.9110370874404907
预测: 什么是转向助力系统？, 选自 answer_2, 得分: 0.9237638413906097
预测: 涉水行驶前应注意什么？, 选自 answer_1, 得分: 0.9288784563541412
预测: 涉水驾驶后需要进行哪些检查？, 选自 answer_2, 得分: 0.9515894055366516
预测: 什么时候应该为车辆打蜡？, 选自 answer_1, 得分: 0.9654660820960999


====================================================================================================
预测问题数：103, 预测最终得分：0.9514672102280033
====================================================================================================

结果文件保存至./data/metrics.json
