Read gold from ./data/gold.json
Read predict file from ./data/result_original.json
预测: 中国足球的队长是谁, 选自 answer_5, 得分: 1.0
预测: 新冠肺炎如何预防？, 选自 answer_5, 得分: 1.0
预测: 交通事故如何处理？, 选自 answer_6, 得分: 0.9020723700523376
预测: 怎样加热座椅？, 选自 answer_7, 得分: 0.9578542113304138
预测: 自动模式下，中央显示屏是如何切换日间和夜间模式的？, 选自 answer_7, 得分: 0.9508593380451202
预测: 如何通过中央显示屏进行副驾驶员座椅设置？, 选自 answer_3, 得分: 0.9878670871257782
预测: 副仪表台按钮如何操作中央显示屏？, 选自 answer_1, 得分: 0.9885948896408081
预测: 如何从锁定状态唤醒中央显示器?, 选自 answer_7, 得分: 0.8682437241077423
预测: 如何正确使用颈椎保护系统？, 选自 answer_2, 得分: 0.9908556640148163
预测: 前方交叉路口预警系统（FCTA）的作用是什么？, 选自 answer_1, 得分: 0.9762917160987854
预测: 在使用FCTA时需要注意哪些事项？, 选自 answer_1, 得分: 0.9848988652229309
预测: 如何打开车辆尾门？, 选自 answer_4, 得分: 0.9615495204925537
预测: 在哪些情况下智能钥匙可能会受到干扰，导致功能异常？, 选自 answer_4, 得分: 0.9849758148193359
预测: 车辆尾门的防夹保护功能是如何工作的？, 选自 answer_3, 得分: 0.9821274876594543
预测: 在操作电动后备厢时需要注意哪些事项？, 选自 answer_4, 得分: 0.9647458493709564
预测: 如何进入车辆功能界面？, 选自 answer_3, 得分: 0.984874963760376
预测: 在车辆功能界面有哪些操作选项？, 选自 answer_1, 得分: 0.9705763459205627
预测: 如何编辑快捷开关图标?, 选自 answer_2, 得分: 0.9928632378578186
预测: 如何减少车辆腐蚀风险？, 选自 answer_1, 得分: 0.973205953836441
预测: 如何通过空调系统面板调节空调风量？, 选自 answer_7, 得分: 0.9667111039161682
预测: 如何创建新的Lynk&CoID？, 选自 answer_6, 得分: 0.9629925787448883
预测: 什么是车主账户？, 选自 answer_2, 得分: 0.9680541455745697
预测: 如何创建人脸识别？, 选自 answer_6, 得分: 0.9647140502929688
预测: 如何添加亲情账号？, 选自 answer_7, 得分: 0.9797330498695374
预测: 如何开启或关闭用车偏好自动同步？, 选自 answer_1, 得分: 0.986155778169632
预测: 如何熄火我的车辆？, 选自 answer_3, 得分: 0.9590245187282562
预测: 如何通过遥控钥匙启动车辆？, 选自 answer_7, 得分: 0.9536161422729492
预测: 如果遥控钥匙电池电量低，我应该如何启动车辆？, 选自 answer_7, 得分: 0.942630410194397
预测: 如何调节外后视镜？, 选自 answer_2, 得分: 0.9882926940917969
预测: 外部反光境显示物体距离是否准确?, 选自 answer_3, 得分: 0.9692864716053009
预测: 什么是自动驻车系统？, 选自 answer_4, 得分: 0.9840352237224579
预测: 在什么情况下会停用AutoHold并启用EPB功能？, 选自 answer_1, 得分: 0.9799934923648834
预测: 中央扶手箱的USB接口有几个？它们分别是什么类型？, 选自 answer_6, 得分: 0.9074909090995789
预测: 中央扶手箱所支持的U盘及数据传输格式有哪些？, 选自 answer_6, 得分: 0.9042302668094635
预测: 如何通过中央显示屏调节驾驶员侧座椅通风强度？, 选自 answer_1, 得分: 0.9919928908348083
预测: 如何关闭前排座行车通风功能？, 选自 answer_4, 得分: 0.936610996723175
预测: 如何进入系统设置界面？, 选自 answer_1, 得分: 1.0
预测: 在系统界面可以进行哪些操作？, 选自 answer_7, 得分: 0.917290985584259
预测: 什么是无钥匙进入系统？, 选自 answer_2, 得分: 0.9705097079277039
预测: 如何设置无钥匙解锁模式？, 选自 answer_2, 得分: 0.9691731035709381
预测: 设置无钥匙解锁中单门和全车的区别在于什么？, 选自 answer_3, 得分: 0.9609965980052948
预测: 驾驶车辆时应遵守哪些注意事项？, 选自 answer_4, 得分: 0.9786617159843445
预测: 如何启用或停用手套箱密码保护功能？, 选自 answer_6, 得分: 0.9719007313251495
预测: 驾驶员状态监测系统是如何工作的？, 选自 answer_7, 得分: 0.9681600332260132
预测: 什么情况下会影响到驾驶员状态监测系统的工作？, 选自 answer_3, 得分: 0.9978799521923065
预测: 如何启用后排儿童锁功能？, 选自 answer_6, 得分: 0.9712601006031036
预测: 安全气囊是什么？它的作用是什么？, 选自 answer_1, 得分: 0.9879810810089111
预测: 如果未使用或未正确使用安全带，会对安全气囊有何影响？ , 选自 answer_1, 得分: 1.0000001192092896
预测: 在使用车辆时，有哪些安全气囊的注意事项？, 选自 answer_4, 得分: 0.9811452925205231
预测: 如何开启动力电池电量保持功能？, 选自 answer_1, 得分: 0.9943911731243134
预测: 在开启动力电池的情况下，选择经济性优先和充电速度优先有什么区别？, 选自 answer_2, 得分: 0.9762052893638611
预测: 后方碰撞预警系统在什么情况下会启动？, 选自 answer_1, 得分: 0.9713539779186249
预测: 如何调整方向盘的位置？, 选自 answer_4, 得分: 0.9711290299892426
预测: 什么情况下不能调节车辆的方向盘？, 选自 answer_3, 得分: 0.9999998211860657
预测: 如何通过手机APP启动车辆？, 选自 answer_7, 得分: 0.9459566473960876
预测: 什么是陡坡缓降系统（HDC什么是陡坡缓降系统（HDC）？, 选自 answer_7, 得分: 0.9722326099872589
预测: 当坡度过大时，如何操作才能使车辆保持匀速地行驶？, 选自 answer_3, 得分: 0.9531829059123993
预测: 在什么情况下HDC会激活？, 选自 answer_1, 得分: 0.9916411936283112
预测: 在什么情况下无法激活或自动退出HDC功能？, 选自 answer_1, 得分: 0.9979567527770996
预测: 开启陡坡缓降系统后，组合仪表显示什么颜色的指示灯？, 选自 answer_1, 得分: 1.0
预测: 激活陡坡缓降系统时，组合仪表显示什么颜色的指示灯？, 选自 answer_1, 得分: 1.0000001192092896
预测: 当陡坡缓降系统出现故障时，组合仪表会显示怎样的提示？, 选自 answer_1, 得分: 1.000000238418579
预测: 坡道辅助系统的主要功能是什么？, 选自 answer_7, 得分: 0.9464861750602722
预测: 使用坡道辅助系统时需要注意哪些警告？, 选自 answer_1, 得分: 0.9932262301445007
预测: 在有路缘石的上坡和下坡驻车时，应如何操作？, 选自 answer_1, 得分: 0.948014885187149
预测: 新车在最初的2000km行驶期间应遵守哪些事项？, 选自 answer_1, 得分: 0.9988919198513031
预测: 当刹车片将达到最小安全厚度时会有什么表现？, 选自 answer_3, 得分: 0.9931337833404541
预测: 如果听到持续的高频尖锐噪声应该怎么做？, 选自 answer_2, 得分: 0.9604931175708771
预测: 风挡摄像头和前雷达在什么情况下会弹出警示消息？, 选自 answer_2, 得分: 0.9874936044216156
预测: 如何通过蓝牙钥匙启动车辆？, 选自 answer_7, 得分: 0.9498412311077118
预测: 在什么情况下无法通过蓝牙钥匙启动车辆？, 选自 answer_1, 得分: 0.9932393431663513
预测: 如何通过网络远程启动发动机？, 选自 answer_7, 得分: 0.9395716190338135
预测: 变道辅助系统由哪三部分组成？, 选自 answer_1, 得分: 0.9999999701976776
预测: 如何检查制动液液位？, 选自 answer_3, 得分: 1.0000001192092896
