Read gold from ./data/gold.json
Read predict file from ./data/result_our_2.json
预测: 中国足球的队长是谁, 得分: 0.0
预测: 新冠肺炎如何预防？, 得分: 0.0
预测: 交通事故如何处理？, 得分: 0.4142310321331024
预测: 怎样加热座椅？, 得分: 0.43673571944236755
预测: 自动模式下，中央显示屏是如何切换日间和夜间模式的？, 得分: 0.925706684589386
预测: 如何通过中央显示屏进行副驾驶员座椅设置？, 得分: 0.9679988622665405
预测: 副仪表台按钮如何操作中央显示屏？, 得分: 0.9412949085235596
预测: 如何从锁定状态唤醒中央显示器?, 得分: 0.8433637917041779
预测: 如何正确使用颈椎保护系统？, 得分: 0.945685476064682
预测: 前方交叉路口预警系统（FCTA）的作用是什么？, 得分: 0.9434734880924225
预测: 在使用FCTA时需要注意哪些事项？, 得分: 0.44615599513053894
预测: 如何打开车辆尾门？, 得分: 0.43723058700561523
预测: 在哪些情况下智能钥匙可能会受到干扰，导致功能异常？, 得分: 0.43273991346359253
预测: 车辆尾门的防夹保护功能是如何工作的？, 得分: 0.9683322310447693
预测: 在操作电动后备厢时需要注意哪些事项？, 得分: 0.4101869761943817
预测: 如何进入车辆功能界面？, 得分: 0.8218800127506256
预测: 在车辆功能界面有哪些操作选项？, 得分: 0.41949623823165894
预测: 如何编辑快捷开关图标?, 得分: 0.8742456436157227
预测: 如何减少车辆腐蚀风险？, 得分: 0.9398245215415955
预测: 如何通过空调系统面板调节空调风量？, 得分: 0.4198973774909973
预测: 如何创建新的Lynk&CoID？, 得分: 0.45752888917922974
预测: 什么是车主账户？, 得分: 0.40950024127960205
预测: 如何创建人脸识别？, 得分: 0.9496452510356903
预测: 如何添加亲情账号？, 得分: 0.9855189025402069
预测: 如何开启或关闭用车偏好自动同步？, 得分: 0.9157570004463196
预测: 如何熄火我的车辆？, 得分: 0.941687673330307
预测: 如何通过遥控钥匙启动车辆？, 得分: 0.43389374017715454
预测: 如果遥控钥匙电池电量低，我应该如何启动车辆？, 得分: 0.8839034140110016
预测: 如何调节外后视镜？, 得分: 0.2506660521030426
预测: 外部反光境显示物体距离是否准确?, 得分: 0.8476663529872894
预测: 什么是自动驻车系统？, 得分: 0.4544372260570526
预测: 在什么情况下会停用AutoHold并启用EPB功能？, 得分: 0.8906081914901733
预测: 中央扶手箱的USB接口有几个？它们分别是什么类型？, 得分: 0.9341296851634979
预测: 中央扶手箱所支持的U盘及数据传输格式有哪些？, 得分: 0.36457982659339905
预测: 如何通过中央显示屏调节驾驶员侧座椅通风强度？, 得分: 0.9416066110134125
预测: 如何关闭前排座行车通风功能？, 得分: 0.4174520969390869
预测: 如何进入系统设置界面？, 得分: 0.8454205691814423
预测: 在系统界面可以进行哪些操作？, 得分: 0.39019834995269775
预测: 什么是无钥匙进入系统？, 得分: 0.9476010203361511
预测: 如何设置无钥匙解锁模式？, 得分: 0.9370169043540955
预测: 设置无钥匙解锁中单门和全车的区别在于什么？, 得分: 0.9204229712486267
预测: 驾驶车辆时应遵守哪些注意事项？, 得分: 0.42064207792282104
预测: 如何启用或停用手套箱密码保护功能？, 得分: 0.9615712463855743
预测: 驾驶员状态监测系统是如何工作的？, 得分: 0.9315204322338104
预测: 什么情况下会影响到驾驶员状态监测系统的工作？, 得分: 0.9300752580165863
预测: 如何启用后排儿童锁功能？, 得分: 0.42755603790283203
预测: 安全气囊是什么？它的作用是什么？, 得分: 0.9267095327377319
预测: 如果未使用或未正确使用安全带，会对安全气囊有何影响？ , 得分: 0.915204644203186
预测: 在使用车辆时，有哪些安全气囊的注意事项？, 得分: 0.958304226398468
预测: 如何开启动力电池电量保持功能？, 得分: 0.4212869703769684
预测: 在开启动力电池的情况下，选择经济性优先和充电速度优先有什么区别？, 得分: 0.9092879295349121
预测: 后方碰撞预警系统在什么情况下会启动？, 得分: 0.4478127062320709
预测: 如何调整方向盘的位置？, 得分: 0.9379874467849731
预测: 什么情况下不能调节车辆的方向盘？, 得分: 0.9162319600582123
预测: 如何通过手机APP启动车辆？, 得分: 0.9585887789726257
预测: 什么是陡坡缓降系统（HDC什么是陡坡缓降系统（HDC）？, 得分: 0.9668852984905243
预测: 当坡度过大时，如何操作才能使车辆保持匀速地行驶？, 得分: 0.9213810563087463
预测: 在什么情况下HDC会激活？, 得分: 0.9332964420318604
预测: 在什么情况下无法激活或自动退出HDC功能？, 得分: 0.876279205083847
预测: 开启陡坡缓降系统后，组合仪表显示什么颜色的指示灯？, 得分: 0.9530468285083771
预测: 激活陡坡缓降系统时，组合仪表显示什么颜色的指示灯？, 得分: 0.9786354601383209
预测: 当陡坡缓降系统出现故障时，组合仪表会显示怎样的提示？, 得分: 0.9985103607177734
预测: 坡道辅助系统的主要功能是什么？, 得分: 0.41358518600463867
预测: 使用坡道辅助系统时需要注意哪些警告？, 得分: 0.9352374970912933
预测: 在有路缘石的上坡和下坡驻车时，应如何操作？, 得分: 0.9206316471099854
预测: 新车在最初的2000km行驶期间应遵守哪些事项？, 得分: 0.45072141289711
预测: 当刹车片将达到最小安全厚度时会有什么表现？, 得分: 0.9244500994682312
预测: 如果听到持续的高频尖锐噪声应该怎么做？, 得分: 0.39369624853134155
预测: 风挡摄像头和前雷达在什么情况下会弹出警示消息？, 得分: 0.865015983581543
预测: 如何通过蓝牙钥匙启动车辆？, 得分: 0.4283066391944885
预测: 在什么情况下无法通过蓝牙钥匙启动车辆？, 得分: 0.4262371063232422
预测: 如何通过网络远程启动发动机？, 得分: 0.41578057408332825
预测: 变道辅助系统由哪三部分组成？, 得分: 0.9131310880184174
预测: 如何检查制动液液位？, 得分: 0.8991466164588928
预测: 如何调节车辆的背光亮度？, 得分: 0.9437389373779297
预测: 在白天和夜晚，开启和未开启整车背光联动时，转动调光旋钮有什么不同？, 得分: 0.9705773591995239
预测: 当车辆发生故障时，应该如何处理？, 得分: 0.43493402004241943
预测: 为什么不建议自行修理车辆故障？, 得分: 0.9355310499668121
预测: 什么是能量回收系统？, 得分: 0.9695851802825928
预测: 如何知道车辆正在进行能量回收？, 得分: 0.8544402420520782
预测: 影响能量回收多少的因素有哪些？, 得分: 0.36569276452064514
预测: 什么是智能远近光控制系统？, 得分: 0.9726437926292419
预测: 在什么情况下可以开启智能远近光控制系统？, 得分: 0.8966130316257477
预测: 哪些因素可能导致智能远近光控制系统无法正常工作？, 得分: 0.949037104845047
预测: 如何启用前除霜/除雾功能？, 得分: 0.9351687133312225
预测: 当我开启前挡风玻璃的去冰去雾模式时，车辆会有什么反应？, 得分: 0.9210008382797241
预测: 为什么驾驶之前需要确保挡风玻璃无冰渣、积雪或冷凝水？, 得分: 0.9073327779769897
预测: 什么情况下车辆需要进行报废处理？, 得分: 0.33105191588401794
预测: 什么是遥控泊车（RPA）？, 得分: 0.43557512760162354
预测: 使用Lynk&CoApp的RPA功能需要注意什么？, 得分: 0.20549558103084564
预测: 如何开启方向盘助力与驾驶模式联动？, 得分: 0.9634369015693665
预测: 有哪些可选的方向盘转向助力模式？, 得分: 0.915617048740387
预测: 主动式座舱清洁系统的作用是什么？, 得分: 0.4175470173358917
预测: 全景天窗是由几部分组成的？, 得分: 0.8894564807415009
预测: 如何使用位置记忆功能？, 得分: 0.9666145741939545
预测: 如何更换后挡风玻璃雨刮片？, 得分: 0.9662189781665802
预测: 在更换雨刮片时需要注意什么？, 得分: 0.9481268227100372
预测: 如何添加香氛精油？, 得分: 0.9536016285419464
